ID_Equipo;DESCRIPCION;ID_PID
03351-BOC-001;Bomba Descarga Underflow (66 m³/h, 56 KW);4600022667-001-03350-201CA-00003
03351-BOC-002;Bomba Descarga Underflow (66 m³/h, 56 KW);4600022667-001-03350-201CA-00003
03351-BOC-003;Bomba Descarga Underflow (66 m³/h, 56 KW);4600022667-001-03350-201CA-00003
03351-BOC-004;Bomba Agua de Sello (4,8 m³/h, 5,6 KW);4600022667-001-03350-201CA-00003
03351-BOC-005;Bomba Agua de Sello (4,8 m³/h, 5,6 KW);4600022667-001-03350-201CA-00003
03351-BVT-001;Bomba Vertical Sumidero (90 m³/h, 30 KW);4600022667-001-03350-201CA-00003
03351-CAJ-001;Cajón Pre-Carga (Vol. útil: 2,3 m²);4600022667-001-03350-201CA-00004
03351-CAJ-002;Cajón de Traspaso (Vol. útil: 6,4 m³);4600022667-001-03350-201CA-00004
03351-CMU-001;Muestreador Primario;4600022667-001-03350-201CA-00004
03351-CMU-001-01;Cortador de Muestra (4 KW);4600022667-001-03350-201CA-00004
03351-CMU-001-02;Cajón Colector Doble;4600022667-001-03350-201CA-00004
03351-CMU-001-03;Muestreador Secundario Tipo Vezin;4600022667-001-03350-201CA-00004
03351-CMU-001-04;Bomba Impulsión;4600022667-001-03350-201CA-00004
03351-CNL-001;Canaleta;4600022667-001-03350-201CA-00004
03351-DLO-001;Ducha Lavaojos Autónoma;4600022667-001-03350-201CA-00002
03351-ECI-003 a 009;Extintores PQS/CO₂ (varios tipos y ubicaciones);4600022667-001-03350-201CA-00006
03351-ESP-001;Espesador de Cabeza PMFC (Ø 25m, 7,5 KW);4600022667-001-03350-201CA-00002
03351-EST-001;Estanque - Agua de Sello (Ø 2,2m, H 2,2m);4600022667-001-03350-201CA-00002
03351-TCL-001;Tecle Eléctrico Mantención (1,8 KW, 2 Ton);4600022667-001-03350-201CA-00003
03351-TCL-002;Tecle Eléctrico Mantención (1,8 KW, 2 Ton);4600022667-001-03350-201CA-00003
03351-TCL-003;Tecle Eléctrico Mantención (1,8 KW, 2 Ton);4600022667-001-03350-201CA-00003
03351-TCL-004;Tecle Eléctrico Mantención (1,8 KW, 2 Ton);4600022667-001-03350-201CA-00002
03351-ZZM-001;Pieza de Transición;4600022667-001-03350-201CA-00004
