ID_ISO;DWG_NO;DWG_NO_CONTRATISTA;ID_LINEA;SUBLINE_TRAMO;HOJA_NUMERO;HOJAS_TOTALES;REV_INGENIERIA;APLICA_PWHT;SISTEMA_CWPA;SPOOLED_BY;FECHA_SPOOLING;REV_SPOOLING;DIAMETRO_PRINCIPAL;ESTADO_INGENIERIA;ARCHIVO_PDF_ISO;CANTIDAD_SPOOLS_EST;OBSERVACIONES_NOTAS;FECHA_CREACION;CREADO_POR;FECHA_ACTUALIZACION;ACTUALIZADO_POR
"03351-CT-10""-C3-0079-R3_HOJA-1";4600022667-001-03350-502CA-00012;F039-SS01-ISO-PI-01;"03351-CT-10""-C3-0079-R3";;1;1;0;FALSO;03351;;;;10;;Archivos/PDF/ISO/4b841076.ARCHIVO_PDF_REVISION.204608.pdf;1;Revisar Cantidad de Material;17/03/2026 17:44;Cristian Luke;18/03/2026 9:05;Cristian Luke
"03351-CT-3""-C2-0012-N_HOJA-1";4600022667-001-03350-502CA-00015;F039-SS01-ISO-PI-015;"03351-CT-3""-C2-0012-N";;1;1;0;FALSO;03351;Enzo;17/03/2026;0;3;;LOG_Iso_MS::Archivos/PDF/ISO/0bc09c9f.ARCHIVO_PDF_REVISION.212919.pdf;2;;17/03/2026 18:22;Cristian Luke;19/03/2026 20:00;Cristian Luke
03351-CT-200-H2-0002-N_HOJA-1;4600022667-001-03350-502CA-00013;F039-SS01-ISO-PI-013;03351-CT-200-H2-0002-N;;1;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
03351-CT-200-H2-0002-N_HOJA-2;4600022667-001-03350-502CA-00013;F039-SS01-ISO-PI-013;03351-CT-200-H2-0002-N;;2;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
03351-CT-200-H2-0002-N_HOJA-3;4600022667-001-03350-502CA-00013;F039-SS01-ISO-PI-013;03351-CT-200-H2-0002-N;;3;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
03351-CT-200-H2-0002-N_HOJA-4;4600022667-001-03350-502CA-00013;F039-SS01-ISO-PI-013;03351-CT-200-H2-0002-N;;4;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
03351-CT-200-H2-0002-N_HOJA-5;4600022667-001-03350-502CA-00013;F039-SS01-ISO-PI-013;03351-CT-200-H2-0002-N;;5;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
03351-CT-200-H2-0045-N_HOJA-1;4600022667-001-03350-502CA-00014;F039-SS01-ISO-PI-014;03351-CT-200-H2-0045-N;;1;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
"03351-CT-3""-C2-0059-N_HOJA-1";4600022667-001-03350-502CA-00016;F039-SS01-ISO-PI-016;"03351-CT-3""-C2-0059-N";;1;;0;FALSO;03351;;;;;;LOG_Iso_MS::Archivos/PDF/ISO/aac2fee8.ARCHIVO_PDF_REVISION.135533.pdf;1;;17/03/2026 18:22;Cristian Luke;18/03/2026 10:55;Cristian Luke
"03351-CT-3""-C2-0060-N_HOJA-1";4600022667-001-03350-502CA-00017;F039-SS01-ISO-PI-017;"03351-CT-3""-C2-0060-N";;1;;0;FALSO;03351;;;;;;;4;;17/03/2026 18:22;Cristian Luke;18/03/2026 16:48;Cristian Luke
"03351-CT-3""-C2-0061-N_HOJA-1";4600022667-001-03350-502CA-00018;F039-SS01-ISO-PI-018;"03351-CT-3""-C2-0061-N";;1;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
"03351-CT-3""-C2-0062-N_HOJA-1";4600022667-001-03350-502CA-00019;F039-SS01-ISO-PI-019;"03351-CT-3""-C2-0062-N";;1;;0;FALSO;03351;;;;;;;;;17/03/2026 18:22;Cristian Luke;17/03/2026 18:29;Cristian Luke
