ID_JUNTA;ID_ISO;ID_SPOOL;NUMERO_JUNTA;CATEGORIA_JUNTA;ID_TIPO_UNION;NPS;DIAMETRO_WDI;SCH_THK;MATERIAL_PIPING;BOLT_SIZE;APLICA_PWHT;PORCENTAJE_NDE;FECHA_EJECUCION;ESTAMPA_EJECUTOR;WPS_UTILIZADO;OBSERVACIONES;JUNTA_ANULADA
"03351-CT-10""-C3-0079-R3_HOJA-1_SP01_1";"03351-CT-10""-C3-0079-R3_HOJA-1";"03351-CT-10""-C3-0079-R3_HOJA-1_SP01";1;F;BT;10;10,00;150;CS;;FALSO;;;;;;
"03351-CT-10""-C3-0079-R3_HOJA-1_SP01_2";"03351-CT-10""-C3-0079-R3_HOJA-1";"03351-CT-10""-C3-0079-R3_HOJA-1_SP01";2;F;BT;10;10,00;150;CS;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_1;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;1;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_2;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;2;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_3;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;3;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_4;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;4;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_5;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;5;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_6;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP01;6;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_7;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP02;7;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_8;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP02;8;F;TF;2;2,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_9;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP02;9;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_10;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP02;10;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_11;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP02;11;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_12;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP03;12;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_13;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP03;13;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_14;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP03;14;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_15;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP03;15;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_16;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP04;16;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_17;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP04;17;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP05_18;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP05;18;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP05_19;03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N_HOJA-1_SP05;19;F;TF;8;8,00;PN10;HDPE;;FALSO;;;;;;
