ID_SPOOL;TAG_SPOOL;ID_ISO;NUMERO_SPOOL;TIPO_SPOOL;REV_ORIGEN;REV_VIGENTE;ESTADO_VALIDEZ;AREA_GENERAL;AREA_CONEXION;MAX_NPS_SPOOL;APLICA_PWHT;TEST_PACK;AWP_IWP ;SEMANA_PROGRAMADA;PRIORIDAD_DESPACHO;METROS_LINEALES;RESPONSABLE_LOGISTICA;ESTADO_FABRICACION;ESTADO_CICLO_VIDA;UBICACION_ACTUAL;CICLO_PINTURA;RAL_COLOR;OBSERVACIONES_NOTAS;FECHA_INICIO_FAB;FECHA_FIN_FAB;FECHA_ENVIO_PINTURA;FECHA_RECEPCION_PINTURA;FECHA_DESPACHO_PROYECTADA;FECHA_DESPACHO_REAL;FECHA_LLEGADA_TERRENO
"03351-CT-10""-C3-0079-R3_HOJA-1_SP01";0001;"03351-CT-10""-C3-0079-R3_HOJA-1";SP01;Especial;0;0;Válido;03351;TORRE TRASFERENCIA;10;;;;;;;;🟢 N/A;;;;;Junta de Expansion;;;;;;;
"03351-CT-3""-C2-0012-N_HOJA-1_SP01";0002;"03351-CT-3""-C2-0012-N_HOJA-1";SP01;Large Bore;0;0;Válido;03351;;3;;;;;;;;⚪ PENDIENTE;Pendiente;;;;;;;;;;;
"03351-CT-3""-C2-0012-N_HOJA-1_SP02";0003;"03351-CT-3""-C2-0012-N_HOJA-1";SP02;Large Bore;0;0;Válido;03351;;;;;;;;;;⚪ PENDIENTE;Pendiente;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01;0004;03351-CT-200-H2-0002-N_HOJA-1;SP01;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02;0005;03351-CT-200-H2-0002-N_HOJA-1;SP02;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03;0006;03351-CT-200-H2-0002-N_HOJA-1;SP03;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04;0007;03351-CT-200-H2-0002-N_HOJA-1;SP04;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP05;0008;03351-CT-200-H2-0002-N_HOJA-1;SP05;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP06;0009;03351-CT-200-H2-0002-N_HOJA-1;SP06;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP07;0010;03351-CT-200-H2-0002-N_HOJA-1;SP07;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP08;0011;03351-CT-200-H2-0002-N_HOJA-1;SP08;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP09;0012;03351-CT-200-H2-0002-N_HOJA-1;SP09;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP10;0013;03351-CT-200-H2-0002-N_HOJA-1;SP10;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP01;0014;03351-CT-200-H2-0002-N_HOJA-2;SP01;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP02;0015;03351-CT-200-H2-0002-N_HOJA-2;SP02;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP03;0016;03351-CT-200-H2-0002-N_HOJA-2;SP03;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP04;0017;03351-CT-200-H2-0002-N_HOJA-2;SP04;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP05;0018;03351-CT-200-H2-0002-N_HOJA-2;SP05;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP06;0019;03351-CT-200-H2-0002-N_HOJA-2;SP06;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP07;0020;03351-CT-200-H2-0002-N_HOJA-2;SP07;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP08;0021;03351-CT-200-H2-0002-N_HOJA-2;SP08;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-2_SP09;0022;03351-CT-200-H2-0002-N_HOJA-2;SP09;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-3_SP01;0023;03351-CT-200-H2-0002-N_HOJA-3;SP01;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-3_SP02;0024;03351-CT-200-H2-0002-N_HOJA-3;SP02;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-3_SP03;0025;03351-CT-200-H2-0002-N_HOJA-3;SP03;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-4_SP01;0026;03351-CT-200-H2-0002-N_HOJA-4;SP01;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-4_SP02;0027;03351-CT-200-H2-0002-N_HOJA-4;SP02;;0;;Válido;03351;;;;;;;;;;⚪ PENDIENTE;;;;;;;;;;;;
