ID_LOG_ISO,ID_ISO,REVISION_NRO,ESTADO_DOCUMENTO,ARCHIVO_PDF_REVISION,TIPO_MODIFICACION,CANTIDAD_SPOOLS_EST,MOTIVO_CAMBIO,SPOOLED_BY,FECHA_SPOOLING,REV_SPOOLING,FECHA_SUBIDA,SUBIDO_POR
4b841076,"03351-CT-10""-C3-0079-R3_HOJA-1",0,,Archivos/PDF/ISO/4b841076.ARCHIVO_PDF_REVISION.204608.pdf,Nueva Emisión,0,,Enzo,2026-01-29,0,2026-03-17 17:45:30,Cristian Luke
d00d7c2a,03351-RW-450-H1-0008-N_HOJA-1,0,,Archivos/PDF/ISO/d00d7c2a.ARCHIVO_PDF_REVISION.132457.pdf,Nueva Emisión,5,,Enzo,2026-01-29,0,2026-03-18 10:24:19,Cristian Luke
e910aa5e,03351-CT-200-H2-0002-N_HOJA-4,0,,Archivos/PDF/ISO/e910aa5e.ARCHIVO_PDF_REVISION.115543.pdf,Nueva Emisión,3,,Enzo,2026-01-29,0,2026-03-24 08:53:53,Cristian Luke
ca40bea8,03351-CT-200-H2-0002-N_HOJA-5,0,,Archivos/PDF/ISO/ca40bea8.ARCHIVO_PDF_REVISION.115651.pdf,Nueva Emisión,9,,Enzo,2026-01-29,0,2026-03-24 08:55:38,Cristian Luke
0921d3aa,"03351-CT-3""-C2-0012-N_HOJA-1",0,,Archivos/PDF/ISO/0921d3aa.ARCHIVO_PDF_REVISION.121710.pdf,Nueva Emisión,2,,Enzo,2026-01-29,0,2026-03-24 09:16:49,Cristian Luke
d4e4f33d,"03351-CT-3""-C2-0059-N_HOJA-1",0,,Archivos/PDF/ISO/d4e4f33d.ARCHIVO_PDF_REVISION.121904.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:18:17,Cristian Luke
e6cafa2e,"03351-CT-3""-C2-0060-N_HOJA-1",0,,Archivos/PDF/ISO/e6cafa2e.ARCHIVO_PDF_REVISION.122051.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:20:21,Cristian Luke
187ff538,"03351-CT-3""-C2-0061-N_HOJA-1",0,,Archivos/PDF/ISO/187ff538.ARCHIVO_PDF_REVISION.122243.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:21:56,Cristian Luke
81ebfd34,"03351-CT-3""-C2-0062-N_HOJA-1",0,,Archivos/PDF/ISO/81ebfd34.ARCHIVO_PDF_REVISION.122337.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:22:57,Cristian Luke
823c51bf,"03351-CT-3""-C2-0063-N_HOJA-1",0,,Archivos/PDF/ISO/823c51bf.ARCHIVO_PDF_REVISION.122853.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:28:09,Cristian Luke
96ad49a1,"03351-CT-3""-C2-0064-N_HOJA-1",0,,Archivos/PDF/ISO/96ad49a1.ARCHIVO_PDF_REVISION.123007.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:29:25,Cristian Luke
6abbab0c,"03351-CT-3""-C2-0065-N_HOJA-1",0,,Archivos/PDF/ISO/6abbab0c.ARCHIVO_PDF_REVISION.125554.pdf,Nueva Emisión,2,,Enzo,2026-01-29,0,2026-03-24 09:55:08,Cristian Luke
90c78c2e,"03351-CT-3""-C2-0066-N_HOJA-1",0,,Archivos/PDF/ISO/90c78c2e.ARCHIVO_PDF_REVISION.125048.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:50:02,Cristian Luke
5165c759,"03351-CT-3""-C2-0067-N_HOJA-1",0,,Archivos/PDF/ISO/5165c759.ARCHIVO_PDF_REVISION.125212.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:51:16,Cristian Luke
7004fea0,"03351-CT-3""-C2-0068-N_HOJA-1",0,,Archivos/PDF/ISO/7004fea0.ARCHIVO_PDF_REVISION.125654.pdf,Nueva Emisión,1,,Enzo,2026-01-29,0,2026-03-24 09:55:59,Cristian Luke
4124c972,"03351-CT-3""-C2-0069-N_HOJA-1",0,,Archivos/PDF/ISO/4124c972.ARCHIVO_PDF_REVISION.130030.pdf,Nueva Emisión,2,,Enzo,2026-01-29,0,2026-03-24 09:59:16,Cristian Luke
