ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142605;ASIGNADO A LÍNEA;M-00001;1.379;;;RECEPCIÓN;;4,72;;;;12/03/2026;Enzo Santambrogio
c8142606;ASIGNADO A LÍNEA;M-00002;1.380;;;RECEPCIÓN;;5,65;;;;12/03/2026;Enzo Santambrogio
c8142607;ASIGNADO A LÍNEA;M-00003;1.381;;;RECEPCIÓN;;0,48;;;;12/03/2026;Enzo Santambrogio
c8142608;ASIGNADO A LÍNEA;M-00004;1.382;;;RECEPCIÓN;;2,38;;;;12/03/2026;Enzo Santambrogio
c8142609;ASIGNADO A LÍNEA;M-00005;1.383;;;RECEPCIÓN;;2,96;;;;12/03/2026;Enzo Santambrogio
c8142610;ASIGNADO A LÍNEA;M-00006;1.384;;;RECEPCIÓN;;2,31;;;;12/03/2026;Enzo Santambrogio
c8142611;ASIGNADO A LÍNEA;M-00007;1.385;;;RECEPCIÓN;;0,7;;;;12/03/2026;Enzo Santambrogio
c8142612;ASIGNADO A LÍNEA;M-00008;1.386;;;RECEPCIÓN;;5,67;;;;12/03/2026;Enzo Santambrogio
c8142613;ASIGNADO A LÍNEA;M-00009;1.387;;;RECEPCIÓN;;2,89;;;;12/03/2026;Enzo Santambrogio
c8142614;ASIGNADO A LÍNEA;M-00010;1.388;;;RECEPCIÓN;;1,85;;;;12/03/2026;Enzo Santambrogio
c8142615;ASIGNADO A LÍNEA;M-00011;1.389;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142616;ASIGNADO A LÍNEA;M-00012;1.390;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142617;ASIGNADO A LÍNEA;M-00013;1.391;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142618;ASIGNADO A LÍNEA;M-00014;1.392;;;RECEPCIÓN;;2,86;;;;12/03/2026;Enzo Santambrogio
c8142619;ASIGNADO A LÍNEA;M-00015;1.393;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142620;ASIGNADO A LÍNEA;M-00016;1.394;;;RECEPCIÓN;;2,67;;;;12/03/2026;Enzo Santambrogio
c8142621;ASIGNADO A LÍNEA;M-00017;1.395;;;RECEPCIÓN;;2,92;;;;12/03/2026;Enzo Santambrogio
c8142622;ASIGNADO A LÍNEA;M-00018;1.396;;;RECEPCIÓN;;0,55;;;;12/03/2026;Enzo Santambrogio
c8142623;ASIGNADO A LÍNEA;M-00019;1.397;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142624;ASIGNADO A LÍNEA;M-00020;1.400;;;RECEPCIÓN;;1,54;;;;12/03/2026;Enzo Santambrogio
c8142625;ASIGNADO A LÍNEA;M-00021;1.401;;;RECEPCIÓN;;0,51;;;;12/03/2026;Enzo Santambrogio
c8142626;ASIGNADO A LÍNEA;M-00022;1.402;;;RECEPCIÓN;;2,31;;;;12/03/2026;Enzo Santambrogio
c8142627;ASIGNADO A LÍNEA;M-00023;1.403;;;RECEPCIÓN;;2,15;;;;12/03/2026;Enzo Santambrogio
c8142628;ASIGNADO A LÍNEA;M-00024;1.404;;;RECEPCIÓN;;0,03;;;;12/03/2026;Enzo Santambrogio
c8142629;ASIGNADO A LÍNEA;M-00025;1.405;;;RECEPCIÓN;;2,38;;;;12/03/2026;Enzo Santambrogio
c8142630;ASIGNADO A LÍNEA;M-00026;1.406;;;RECEPCIÓN;;0,46;;;;12/03/2026;Enzo Santambrogio
c8142631;ASIGNADO A LÍNEA;M-00027;1.407;;;RECEPCIÓN;;5,65;;;;12/03/2026;Enzo Santambrogio
c8142632;ASIGNADO A LÍNEA;M-00028;1.408;;;RECEPCIÓN;;4,28;;;;12/03/2026;Enzo Santambrogio
c8142633;ASIGNADO A LÍNEA;M-00029;1.409;;;RECEPCIÓN;;4,28;;;;12/03/2026;Enzo Santambrogio
c8142634;ASIGNADO A LÍNEA;M-00030;1.410;;;RECEPCIÓN;;0,76;;;;12/03/2026;Enzo Santambrogio
c8142635;ASIGNADO A LÍNEA;M-00031;1.411;;;RECEPCIÓN;;5,98;;;;12/03/2026;Enzo Santambrogio
c8142636;ASIGNADO A LÍNEA;M-00032;1.412;;;RECEPCIÓN;;2,28;;;;12/03/2026;Enzo Santambrogio
c8142637;ASIGNADO A LÍNEA;M-00033;1.413;;;RECEPCIÓN;;3,14;;;;12/03/2026;Enzo Santambrogio
c8142638;ASIGNADO A LÍNEA;M-00034;1.414;;;RECEPCIÓN;;3,16;;;;12/03/2026;Enzo Santambrogio
c8142639;ASIGNADO A LÍNEA;M-00035;1.415;;;RECEPCIÓN;;2,81;;;;12/03/2026;Enzo Santambrogio
c8142640;ASIGNADO A LÍNEA;M-00036;1.416;;;RECEPCIÓN;;3,14;;;;12/03/2026;Enzo Santambrogio
c8142641;ASIGNADO A LÍNEA;M-00037;1.417;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142642;ASIGNADO A LÍNEA;M-00038;1.418;;;RECEPCIÓN;;5,29;;;;12/03/2026;Enzo Santambrogio
c8142643;ASIGNADO A LÍNEA;M-00039;1.419;;;RECEPCIÓN;;3,14;;;;12/03/2026;Enzo Santambrogio
c8142644;ASIGNADO A LÍNEA;M-00040;1.420;;;RECEPCIÓN;;5,65;;;;12/03/2026;Enzo Santambrogio
c8142645;ASIGNADO A LÍNEA;M-00041;1.421;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142646;ASIGNADO A LÍNEA;M-00042;1.422;;;RECEPCIÓN;;3,26;;;;12/03/2026;Enzo Santambrogio
