ITEM;NOMBRE Sdis;Descricpión;Enviado por;CODIGO DAND;REV;ESTADO;FECHA ENVÍO;FECHA DAND;Descripcion de Respuesta
11;Confirmación de ejecución tie ins, y su oportunidad de ejecución;Se requiere ratificar que del Listado de Tie Ins, ya se ejecutó el TIE INS 03351-001;Fernando Espinoza;4600030604-SDICA-00001;0;RESPONDIDA;45943;45954;Se confirma que el TIE INS 03351-001 ya se ejecutó, y se mantienen las observaciones del documento. Se confirman los meses de paradas de planta, se deben coordinar las fechas específicas según avance el proyecto.
12;Listado de líneas del proyecto;Se solicita información y/o entrega de un listado de líneas del proyecto.;Fernando Espinoza;4600030604-SDICA-00002;0;RESPONDIDA;45944;45953;Se adjunta documento 4600022667-001-03350-CUBCA-00001_0. Anexo Cubicacion de materiales de cañerias todos los servicios
13;Listado de lineas;Se solicita informacion y/o entrega de isomtricos pendientes debido a que se han recibido 11 isometricos de 100;Ignacio Ferrada;4600030604-SDICA-00003;0;RESPONDIDA;45959;45967;Planos y documentos que dan respuesta a esta SDI en la nube. Ruta de acceso a la nube: Carpeta Eimisa...Subcarpeta...Respuesta SDICA-00003_0 (031125)
14;Ratificar Lineas de Costura CT;Se solicita ratificar que el tipo de cañería a utilizar en las líneas de concentrado es de tipo ERW, con costura;Ignacio Ferrada;4600030604-SDICA-00004;0;RESPONDIDA;45967;45976;Ruta de acceso a la nube: Carpeta Eimisa...Subcarpeta...Respuesta SDICA-00003_0 (031125)
15;Hoja de Datos de Valvulas del Proyecto;Se solicita infirmacion de las hojas de datos de las valvulas del proyecto;Ignacio Ferrada;4600030604-SDICA-00005;0;RESPONDIDA;45967;45976;"Se adjunta:
Hoja de datos Válvulas Pinch y Cono. Hoja de datos Válvulas de Cuchillo. Listado de Válvulas"
16;"Software de diseño de
cañerías y sus complementos";Se solicita información si se encuentra disponible el PCF, spoolgen o sofware Plant 3D de cañerías del proyecto;Ignacio Ferrada;4600030604-SDICA-00006;0;RESPONDIDA;45973;45983;"Se cargaron en la carpeta 2.0 ENTREGA DE NATIVOS los archivos en la carpeta Plant3D, el proyecto en formato de Proyecto de Plant 3D.
El acceso esta autorizado para Elías Salvatierra de EIMISA.
Link de acceso:
https://codelcochile.sharepoint.com/:f:/t/DOCUMENTOSBIM/IgD2rlNXFK7NRrT97YydQgWiAWpALxS7LfMQK5JBJ77-_ZU"
17;Curvas o codos en línea 0021-R3;Favor informar a qué material corresponde el ítem 4 del listado de materiales, pertenecientes al plano 4600022667-001-03350-502CA-00004 Hoja 12/27. Aclarar si son curvas 3D, 5D (45° o 90°) o simplemente codos, ya que el plano específica cañería.;Ignacio Ferrada;4600030604-03350-SDICA-00007;0;RESPONDIDA;45975;45987;Se debe considerar CURVA 90°, RADIO 5D, ASTM A53 GR B, ASME B16.49, GE, SCH STD, según lo que se muestra en maqueta. Ademas se adjunto hoja con plano referencial 
18;Materialidad de los sellos de las coplas victaulic;Se requiere información de la materialidad del sello elastomérico de las coplas tipo Victaulic;Ignacio Ferrada;4600030604-03350-SDICA-00008;0;RESPONDIDA;45975;45985;"Para líeas con concentrado de cobre, se recomienda Nitrilo, por presencia de
Petróleo.
Se adjunta hoja técnica referencial para vuestra selección."
19;Giro de modelo e isométricos según norte Planta;Se solicita entrega de Modelo e Isométricos actuales según orientación Norte Planta, y no según norte geográfico como lo es actualmente;Fernando Espinoza;4600030604-03350-SDICA-00009;0;RESPONDIDA;45976;45982;"Los modelos proporcionados por DAND por Ingeniería de detalles, no pueden ser modificador por nosotros. Si el constructor estima conveniente el
cambio para su propia estimación, entonces debe realizarlo y validarlo el mismo constructor"".
En la SDI 0006_rev.0 (PIP) se solicitó el modelo en versión ""editable"" para el uso del constructor, su envío esta en proceso."
110;Desarrollo de isometricos faltanes;"Dado que en la respuesta a la SDI N°003 de la disciplina Piping se indica que EIMISA considere la maqueta actual (modelo BIM) para el
desarrollo de líneas (sólo hay isométricos asociados a 11 de 102 líneas), favor confirmar que EIMISA genere esta ingeniería de detalles. Esta información
es esencial para definir proveedores de suministro/fabricación.";Fernando Espinoza;4600030604-03350-SDICA-00010;0;RESPONDIDA;45986;46008;Proceder con la preparación de los planos isométricos
