ID_REL_PIDLineas;ID_PID;ID_LINEA
PID_LINE_001;4600022667-001-03350-201CA-00002;"03351-PW-6""-C1-0013-N"
PID_LINE_002;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0014-N"
PID_LINE_003;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0054-N"
PID_LINE_004;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0084-N"
PID_LINE_005;4600022667-001-03350-201CA-00002;"03351-PW-4""-C1-0016-N"
PID_LINE_006;4600022667-001-03350-201CA-00002;"03351-PW-4""-C1-0094-N"
PID_LINE_007;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0039-N"
PID_LINE_008;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0093-N"
PID_LINE_009;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0038-N"
PID_LINE_010;4600022667-001-03350-201CA-00002;03351-CT-400-H1-0058-N
PID_LINE_011;4600022667-001-03350-201CA-00002;03351-CT-400-H1-0057-N
PID_LINE_012;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0090-N"
PID_LINE_013;4600022667-001-03350-201CA-00002;"03351-GW-2""-C1-0095-N"
PID_LINE_014;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0048-N"
PID_LINE_015;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0052-N"
PID_LINE_016;4600022667-001-03350-201CA-00002;"03351-CT-6""-C3-0006-R3"
PID_LINE_017;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0049-N"
PID_LINE_018;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0053-N"
PID_LINE_019;4600022667-001-03350-201CA-00002;"03351-CT-6""-C3-0007-R3"
PID_LINE_020;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0025-N"
PID_LINE_021;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0091-N"
PID_LINE_022;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0051-N"
PID_LINE_023;4600022667-001-03350-201CA-00002;"03351-CT-6""-C3-0005-R3"
PID_LINE_024;4600022667-001-03350-201CA-00002;"03351-CT-6""-C2-0047-N"
PID_LINE_025;4600022667-001-03350-201CA-00002;03351-RW-450-H1-0008-N
